country,accesses
TJ,1
GQ,1
GL,1
GI,1
MP,1
FO,1
NR,1
DJ,1
TO,1
LR,1
LS,1
AS,1
BT,2
BQ,2
TM,2
GU,2
GG,2
GN,2
GM,2
AD,2
MF,2
FM,2
VU,2
SL,2
VA,2
AG,2
KY,3
SZ,3
YT,3
BF,4
BI,4
TL,4
GF,4
ML,4
IM,4
CG,4
SX,4
ST,4
TC,4
VI,4
JE,5
CD,5
LA,5
VC,5
PG,6
DM,6
BZ,7
RW,7
NC,7
SO,8
PF,9
UZ,9
MR,9
CV,9
GP,10
MO,10
CU,10
GD,11
GY,12
MW,12
MQ,12
XK,12
AW,12
KG,13
AF,13
BS,15
NI,15
CW,15
FJ,16
IS,16
BJ,17
KN,17
SV,17
LC,18
BB,19
LY,19
HT,20
HN,20
GA,21
PY,21
ZM,21
TG,22
ZW,23
SD,23
MG,25
BW,26
SR,26
BO,27
NA,29
UG,30
MZ,31
MM,33
PS,35
RE,37
MV,39
BN,41
GT,41
AO,45
YE,46
CR,47
ET,48
AM,49
ME,50
PR,52
LU,53
BH,55
TZ,62
PA,63
CY,63
UY,63
CM,64
SY,64
KZ,65
KH,68
TT,72
GH,75
MT,80
BY,86
AZ,86
EE,90
LB,91
SN,92
MD,94
MU,94
CI,102
DO,106
SC,109
MN,112
OM,113
NG,114
KW,116
JM,123
KE,127
GE,133
QA,146
PE,147
IQ,174
JO,182
VE,192
NP,194
LV,208
NO,216
MK,226
FI,234
AL,235
SI,252
BG,254
NZ,257
IR,265
BA,301
LT,309
TN,330
CO,339
LK,382
HK,448
SK,450
DK,484
TW,498
CL,529
MA,537
TH,538
VN,539
SG,542
CZ,554
AE,565
HR,575
ZA,587
HU,595
BD,598
CH,640
SE,642
AT,689
EG,692
,707
SA,709
AR,725
BE,727
PT,744
MX,769
DZ,776
EC,785
IE,796
IL,944
RS,1081
ID,1088
KR,1122
MY,1271
GR,1340
TR,1476
AU,1710
RU,1786
PK,1862
PL,2163
NL,2320
PH,2346
JP,2743
RO,2807
CA,3200
ES,3777
CN,4904
IN,6351
UA,6431
FR,7474
BR,16407
IT,23235
GB,93839
DE,150113
US,601577
