country,accesses
TJ,1
GQ,1
GL,1
MP,1
FO,1
NR,1
DJ,1
TO,1
LS,1
TD,1
AS,1
BQ,2
TM,2
GU,2
GG,2
GN,2
GI,2
AD,2
MF,2
FM,2
VU,2
NE,2
SL,2
LR,2
VA,2
AG,2
BT,3
GM,3
KY,3
SZ,3
YT,3
TL,4
GF,4
IM,4
SX,4
ST,4
TC,4
VI,4
BF,5
JE,5
ML,5
CG,5
OTHER,5
CD,5
VC,5
BI,6
PG,6
DM,6
RW,8
BZ,9
PF,9
SO,9
MR,9
CV,9
UZ,10
NC,10
CU,10
GP,11
GD,11
MO,11
MW,13
XK,13
KG,13
AF,13
AW,13
GY,14
MQ,14
LA,14
BS,15
NI,17
BJ,18
KN,18
CW,18
LC,18
FJ,19
BB,20
SV,20
GA,22
HT,22
HN,22
PY,22
ZM,22
TG,22
LY,22
IS,23
SD,24
ZW,26
BW,28
BO,30
MG,30
UG,31
NA,32
SR,32
MZ,35
MM,36
PS,38
GT,42
RE,43
MV,46
BN,49
ET,50
AO,53
CR,54
ME,54
PR,55
BH,58
AM,58
YE,60
LU,64
CY,66
TZ,68
PA,69
KZ,71
UY,72
SY,72
CM,78
TT,81
MT,83
KH,83
GH,84
AZ,93
LB,98
EE,99
SN,99
MD,101
BY,110
MU,110
CI,112
SC,113
DO,113
OM,122
NG,122
KW,124
MN,130
JM,136
KE,137
GE,151
QA,166
PE,167
IQ,194
JO,196
VE,206
LV,214
NP,217
MK,248
FI,258
AL,259
NO,266
SI,270
NZ,271
IR,291
LT,324
BA,328
TN,372
CO,400
LK,426
HK,476
SK,478
TW,520
DK,526
CL,584
SG,587
VN,590
CZ,592
TH,592
MA,597
HR,608
AE,618
HU,645
BD,659
ZA,676
CH,700
SE,729
,752
AT,766
SA,778
EG,781
BE,791
AR,818
IE,859
MX,877
DZ,885
PT,906
IL,1008
EC,1045
RS,1183
ID,1201
KR,1213
GR,1454
MY,1466
TR,1584
AU,1793
RU,2030
PK,2106
NL,2537
PL,2625
PH,2694
JP,2929
RO,2968
CA,3381
CN,5307
ES,5537
UA,7074
IN,7137
BR,16889
IT,23777
GB,94240
DE,151187
BG,257326
FR,563986
US,607766
