month,page,accesses
2016-05,/?,4
2016-05,/download,0
2016-05,/licenses,0
2016-05,/publications,0
2016-05,/ontology,0
2016-05,/,1074
2016-05,/paper,0
2016-05,/model,0
2016-05,/contacts,0
2016-05,/about,0
2016-05,/corpus,1509
2016-05,total,2587
2016-05,/sparql,0
2016-06,/?,6
2016-06,/download,0
2016-06,/licenses,0
2016-06,/publications,0
2016-06,/ontology,0
2016-06,/,1329
2016-06,/paper,0
2016-06,/model,0
2016-06,/contacts,0
2016-06,/about,0
2016-06,/corpus,171
2016-06,total,1521
2016-06,/sparql,15
2016-07,/?,1
2016-07,/download,0
2016-07,/licenses,0
2016-07,/publications,0
2016-07,/ontology,18
2016-07,/,1439
2016-07,/paper,0
2016-07,/model,0
2016-07,/contacts,0
2016-07,/about,0
2016-07,/corpus,270
2016-07,total,16290
2016-07,/sparql,14562
2016-08,/?,6
2016-08,/download,0
2016-08,/licenses,0
2016-08,/publications,94
2016-08,/ontology,1
2016-08,/,3387
2016-08,/paper,201
2016-08,/model,92
2016-08,/contacts,72
2016-08,/about,100
2016-08,/corpus,3146
2016-08,total,7709
2016-08,/sparql,610
2016-09,/?,6
2016-09,/download,1029
2016-09,/licenses,0
2016-09,/publications,136
2016-09,/ontology,11
2016-09,/,2663
2016-09,/paper,226
2016-09,/model,173
2016-09,/contacts,77
2016-09,/about,162
2016-09,/corpus,13118
2016-09,total,18244
2016-09,/sparql,643
2016-10,/?,3
2016-10,/download,306
2016-10,/licenses,0
2016-10,/publications,133
2016-10,/ontology,9
2016-10,/,3008
2016-10,/paper,74
2016-10,/model,124
2016-10,/contacts,58
2016-10,/about,125
2016-10,/corpus,98008
2016-10,total,101997
2016-10,/sparql,149
2016-11,/?,23
2016-11,/download,122
2016-11,/licenses,0
2016-11,/publications,91
2016-11,/ontology,6
2016-11,/,5416
2016-11,/paper,33
2016-11,/model,115
2016-11,/contacts,51
2016-11,/about,99
2016-11,/corpus,13027
2016-11,total,19923
2016-11,/sparql,940
2016-12,/?,14
2016-12,/download,139
2016-12,/licenses,0
2016-12,/publications,95
2016-12,/ontology,15
2016-12,/,7855
2016-12,/paper,11
2016-12,/model,137
2016-12,/contacts,68
2016-12,/about,119
2016-12,/corpus,100864
2016-12,total,109470
2016-12,/sparql,153
2017-01,/?,5
2017-01,/download,660
2017-01,/licenses,0
2017-01,/publications,116
2017-01,/ontology,26
2017-01,/,5858
2017-01,/paper,42
2017-01,/model,160
2017-01,/contacts,47
2017-01,/about,115
2017-01,/corpus,5566
2017-01,total,12949
2017-01,/sparql,354
2017-02,/?,1
2017-02,/download,162
2017-02,/licenses,0
2017-02,/publications,81
2017-02,/ontology,22
2017-02,/,4139
2017-02,/paper,26
2017-02,/model,139
2017-02,/contacts,50
2017-02,/about,94
2017-02,/corpus,94317
2017-02,total,99553
2017-02,/sparql,522
2017-03,/?,4
2017-03,/download,234
2017-03,/licenses,0
2017-03,/publications,105
2017-03,/ontology,19
2017-03,/,5109
2017-03,/paper,56
2017-03,/model,179
2017-03,/contacts,76
2017-03,/about,140
2017-03,/corpus,97616
2017-03,total,108607
2017-03,/sparql,5069
2017-04,/?,83
2017-04,/download,992
2017-04,/licenses,159
2017-04,/publications,630
2017-04,/ontology,14
2017-04,/,12558
2017-04,/paper,35
2017-04,/model,552
2017-04,/contacts,130
2017-04,/about,514
2017-04,/corpus,3322
2017-04,total,43430
2017-04,/sparql,24441
2017-05,/?,8
2017-05,/download,686
2017-05,/licenses,106
2017-05,/publications,221
2017-05,/ontology,23
2017-05,/,8489
2017-05,/paper,40
2017-05,/model,379
2017-05,/contacts,104
2017-05,/about,275
2017-05,/corpus,80783
2017-05,total,92048
2017-05,/sparql,934
2017-06,/?,2
2017-06,/download,595
2017-06,/licenses,91
2017-06,/publications,245
2017-06,/ontology,31
2017-06,/,5892
2017-06,/paper,41
2017-06,/model,320
2017-06,/contacts,100
2017-06,/about,238
2017-06,/corpus,276731
2017-06,total,290125
2017-06,/sparql,5839
2017-07,/?,6
2017-07,/download,395
2017-07,/licenses,89
2017-07,/publications,192
2017-07,/ontology,29
2017-07,/,11525
2017-07,/paper,29
2017-07,/model,320
2017-07,/contacts,151
2017-07,/about,322
2017-07,/corpus,15326
2017-07,total,30235
2017-07,/sparql,1851
2017-08,/?,2
2017-08,/download,613
2017-08,/licenses,122
2017-08,/publications,272
2017-08,/ontology,13
2017-08,/,10076
2017-08,/paper,37
2017-08,/model,429
2017-08,/contacts,119
2017-08,/about,347
2017-08,/corpus,1402
2017-08,total,14976
2017-08,/sparql,1544
2017-09,/?,2
2017-09,/download,815
2017-09,/licenses,96
2017-09,/publications,203
2017-09,/ontology,34
2017-09,/,9314
2017-09,/paper,202
2017-09,/model,276
2017-09,/contacts,103
2017-09,/about,237
2017-09,/corpus,1287
2017-09,total,831767
2017-09,/sparql,819198
